;Row	Column	Xpos	Ypos	State
;=======================================
;Alatau
;=======================================
5	11	102	24	1
5	12	96	24	1
5	13	90	24	1
5	14	84	24	1
5	15	78	24	1
5	16	72	24	1
5	17	66	24	1
5	18	60	24	1
5	19	54	24	1
5	20	48	24	1
5	21	42	24	1
5	22	36	24	1
5	23	30	24	1
5	24	24	24	1
5	25	18	24	1
5	26	12	24	1
5	27	6	24	1
5	28	0	24	1
6	1	162	30	1
6	2	156	30	1
6	3	150	30	1
6	4	144	30	1
6	5	138	30	1
6	6	132	30	1
6	7	126	30	1
6	8	120	30	1
6	9	114	30	1
6	10	108	30	1
6	11	102	30	1
6	12	96	30	1
6	13	90	30	1
6	14	84	30	1
6	15	78	30	1
6	16	72	30	1
6	17	66	30	1
6	18	60	30	1
6	19	54	30	1
6	20	48	30	1
6	21	42	30	1
6	22	36	30	1
6	23	30	30	1
6	24	24	30	1
6	25	18	30	1
6	26	12	30	1
6	27	6	30	1
6	28	0	30	1
7	1	162	36	1
7	2	156	36	1
7	3	150	36	1
7	4	144	36	1
7	5	138	36	1
7	6	132	36	1
7	7	126	36	1
7	8	120	36	1
7	9	114	36	1
7	10	108	36	1
7	11	102	36	1
7	12	96	36	1
7	13	90	36	1
7	14	84	36	1
7	15	78	36	1
7	16	72	36	1
7	17	66	36	1
7	18	60	36	1
7	19	54	36	1
7	20	48	36	1
7	21	42	36	1
7	22	36	36	1
7	23	30	36	1
7	24	24	36	1
7	25	18	36	1
7	26	12	36	1
7	27	6	36	1
7	28	0	36	1
8	1	162	42	1
8	2	156	42	1
8	3	150	42	1
8	4	144	42	1
8	5	138	42	1
8	6	132	42	1
8	7	126	42	1
8	8	120	42	1
8	9	114	42	1
8	10	108	42	1
8	11	102	42	1
8	12	96	42	1
8	13	90	42	1
8	14	84	42	1
8	15	78	42	1
8	16	72	42	1
8	17	66	42	1
8	18	60	42	1
8	19	54	42	1
8	20	48	42	1
8	21	42	42	1
8	22	36	42	1
8	23	30	42	1
8	24	24	42	1
8	25	18	42	1
8	26	12	42	1
8	27	6	42	1
8	28	0	42	1
9	1	162	48	1
9	2	156	48	1
9	3	150	48	1
9	4	144	48	1
9	5	138	48	1
9	6	132	48	1
9	7	126	48	1
9	8	120	48	1
9	9	114	48	1
9	10	108	48	1
9	11	102	48	1
9	12	96	48	1
9	13	90	48	1
9	14	84	48	1
9	15	78	48	1
9	16	72	48	1
9	17	66	48	1
9	18	60	48	1
9	19	54	48	1
9	20	48	48	1
9	21	42	48	1
9	22	36	48	1
9	23	30	48	1
9	24	24	48	1
9	25	18	48	1
9	26	12	48	1
9	27	6	48	1
9	28	0	48	1
10	1	162	54	1
10	2	156	54	1
10	3	150	54	1
10	4	144	54	1
10	5	138	54	1
10	6	132	54	1
10	7	126	54	1
10	8	120	54	1
10	9	114	54	1
10	10	108	54	1
10	11	102	54	1
10	12	96	54	1
10	13	90	54	1
10	14	84	54	1
10	15	78	54	1
10	16	72	54	1
10	17	66	54	1
10	18	60	54	1
10	19	54	54	1
10	20	48	54	1
10	21	42	54	1
10	22	36	54	1
10	23	30	54	1
10	24	24	54	1
10	25	18	54	1
10	26	12	54	1
10	27	6	54	1
10	28	0	54	1
11	1	162	60	1
11	2	156	60	1
11	3	150	60	1
11	4	144	60	1
11	5	138	60	1
11	6	132	60	1
11	7	126	60	1
11	8	120	60	1
11	9	114	60	1
11	10	108	60	1
11	11	102	60	1
11	12	96	60	1
11	13	90	60	1
11	14	84	60	1
11	15	78	60	1
11	16	72	60	1
11	17	66	60	1
11	18	60	60	1
11	19	54	60	1
11	20	48	60	1
11	21	42	60	1
11	22	36	60	1
11	23	30	60	1
11	24	24	60	1
11	25	18	60	1
11	26	12	60	1
11	27	6	60	1
11	28	0	60	1
12	1	162	71	1
12	2	156	71	1
12	3	150	71	1
12	4	144	71	1
12	5	138	71	1
12	6	132	71	1
12	7	126	71	1
12	8	120	71	1
12	9	114	71	1
12	10	108	71	1
12	11	102	71	1
12	12	96	71	1
12	13	90	71	1
12	14	84	71	1
12	15	78	71	1
12	16	72	71	1
12	17	66	71	1
12	18	60	71	1
12	19	54	71	1
12	20	48	71	1
12	21	42	71	1
12	22	36	71	1
12	23	30	71	1
12	24	24	71	1
12	25	18	71	1
12	26	12	71	1
12	27	6	71	1
12	28	0	71	1
13	1	162	77	1
13	2	156	77	1
13	3	150	77	1
13	4	144	77	1
13	5	138	77	1
13	6	132	77	1
13	7	126	77	1
13	8	120	77	1
13	9	114	77	1
13	10	108	77	1
13	11	102	77	1
13	12	96	77	1
13	13	90	77	1
13	14	84	77	1
13	15	78	77	1
13	16	72	77	1
13	17	66	77	1
13	18	60	77	1
13	19	54	77	1
13	20	48	77	1
13	21	42	77	1
13	22	36	77	1
13	23	30	77	1
13	24	24	77	1
13	25	18	77	1
13	26	12	77	1
13	27	6	77	1
13	28	0	77	1
14	1	162	83	1
14	2	156	83	1
14	3	150	83	1
14	4	144	83	1
14	5	138	83	1
14	6	132	83	1
14	7	126	83	1
14	8	120	83	1
14	9	114	83	1
14	10	108	83	1
14	11	102	83	1
14	12	96	83	1
14	13	90	83	1
14	14	84	83	1
14	15	78	83	1
14	16	72	83	1
14	17	66	83	1
14	18	60	83	1
14	19	54	83	1
14	20	48	83	1
14	21	42	83	1
14	22	36	83	1
14	23	30	83	1
14	24	24	83	1
14	25	18	83	1
14	26	12	83	1
14	27	6	83	1
14	28	0	83	1
15	1	162	89	1
15	2	156	89	1
15	3	150	89	1
15	4	144	89	1
15	5	138	89	1
15	6	132	89	1
15	7	126	89	1
15	8	120	89	1
15	9	114	89	1
15	10	108	89	1
15	11	102	89	1
15	12	96	89	1
15	13	90	89	1
15	14	84	89	1
