;Row	Column	Xpos	Ypos	State
;=======================================
;Sary-Arka
;=======================================
10	4	162	59	1
10	5	156	59	1
10	6	150	59	1
10	7	144	59	1
10	8	138	59	1
10	9	132	59	1
10	10	126	59	1
10	11	120	59	1
10	12	114	59	1
10	13	108	59	1
10	14	102	59	1
10	15	78	59	1
10	16	72	59	1
10	17	66	59	1
10	18	60	59	1
10	19	54	59	1
10	20	48	59	1
10	21	42	59	1
10	22	36	59	1
10	23	30	59	1
10	24	24	59	1
10	25	18	59	1
10	26	12	59	1
10	27	6	59	1
10	28	0	59	1
11	1	180	65	1
11	2	174	65	1
11	3	168	65	1
11	4	162	65	1
11	5	156	65	1
11	6	150	65	1
11	7	144	65	1
11	8	138	65	1
11	9	132	65	1
11	10	126	65	1
11	11	120	65	1
11	12	114	65	1
11	13	108	65	1
11	14	102	65	1
11	15	78	65	1
11	16	72	65	1
11	17	66	65	1
11	18	60	65	1
11	19	54	65	1
11	20	48	65	1
11	21	42	65	1
11	22	36	65	1
11	23	30	65	1
11	24	24	65	1
11	25	18	65	1
11	26	12	65	1
11	27	6	65	1
11	28	0	65	1
12	1	180	71	1
12	2	174	71	1
12	3	168	71	1
12	4	162	71	1
12	5	156	71	1
12	6	150	71	1
12	7	144	71	1
12	8	138	71	1
12	9	132	71	1
12	10	126	71	1
12	11	120	71	1
12	12	114	71	1
12	13	108	71	1
12	14	102	71	1
12	15	78	71	1
12	16	72	71	1
12	17	66	71	1
12	18	60	71	1
12	19	54	71	1
12	20	48	71	1
12	21	42	71	1
12	22	36	71	1
12	23	30	71	1
12	24	24	71	1
12	25	18	71	1
12	26	12	71	1
12	27	6	71	1
12	28	0	71	1
13	1	180	77	1
13	2	174	77	1
13	3	168	77	1
13	4	162	77	1
13	5	156	77	1
13	6	150	77	1
13	7	144	77	1
13	8	138	77	1
13	9	132	77	1
13	10	126	77	1
13	11	120	77	1
13	12	114	77	1
13	13	108	77	1
13	14	102	77	1
13	15	78	77	1
13	16	72	77	1
13	17	66	77	1
13	18	60	77	1
13	19	54	77	1
13	20	48	77	1
13	21	42	77	1
13	22	36	77	1
13	23	30	77	1
13	24	24	77	1
13	25	18	77	1
13	26	12	77	1
13	27	6	77	1
13	28	0	77	1
14	1	180	83	1
14	2	174	83	1
14	3	168	83	1
14	4	162	83	1
14	5	156	83	1
14	6	150	83	1
14	7	144	83	1
14	8	138	83	1
14	9	132	83	1
14	10	126	83	1
14	11	120	83	1
14	12	114	83	1
14	13	108	83	1
14	14	102	83	1
14	15	78	83	1
14	16	72	83	1
14	17	66	83	1
14	18	60	83	1
14	19	54	83	1
14	20	48	83	1
14	21	42	83	1
14	22	36	83	1
14	23	30	83	1
14	24	24	83	1
14	25	18	83	1
14	26	12	83	1
14	27	6	83	1
14	28	0	83	1
15	1	180	89	1
15	2	174	89	1
15	3	168	89	1
15	4	162	89	1
15	5	156	89	1
15	6	150	89	1
15	7	144	89	1
15	8	138	89	1
15	9	132	89	1
15	10	126	89	1
15	11	120	89	1
15	12	114	89	1
15	13	108	89	1
15	14	102	89	1
15	15	78	89	1
15	16	72	89	1
15	17	66	89	1
15	18	60	89	1
15	19	54	89	1
15	20	48	89	1
15	21	42	89	1
15	22	36	89	1
15	23	30	89	1
15	24	24	89	1
15	25	18	89	1
15	26	12	89	1
15	27	6	89	1
15	28	0	89	1
16	1	180	95	1
16	2	174	95	1
16	3	168	95	1
16	4	162	95	1
16	5	156	95	1
16	6	150	95	1
16	7	144	95	1
16	8	138	95	1
16	9	132	95	1
16	10	126	95	1
16	11	120	95	1
16	12	114	95	1
16	13	108	95	1
16	14	102	95	1
16	15	78	95	1
16	16	72	95	1
16	17	66	95	1
16	18	60	95	1
16	19	54	95	1
16	20	48	95	1
16	21	42	95	1
16	22	36	95	1
16	23	30	95	1
16	24	24	95	1
16	25	18	95	1
16	26	12	95	1
16	27	6	95	1
16	28	0	95	1
17	1	180	101	1
17	2	174	101	1
17	3	168	101	1
17	4	162	101	1
17	5	156	101	1
17	6	150	101	1
17	7	144	101	1
17	8	138	101	1
17	9	132	101	1
17	10	126	101	1
17	11	120	101	1
17	12	114	101	1
17	13	108	101	1
17	14	102	101	1
17	15	78	101	1
17	16	72	101	1
17	17	66	101	1
17	18	60	101	1
17	19	54	101	1
17	20	48	101	1
17	21	42	101	1
17	22	36	101	1
17	23	30	101	1
17	24	24	101	1
17	25	18	101	1
17	26	12	101	1
17	27	6	101	1
17	28	0	101	1
18	1	180	107	1
18	2	174	107	1
18	3	168	107	1
18	4	162	107	1
18	5	156	107	1
18	6	150	107	1
18	7	144	107	1
18	8	138	107	1
18	9	132	107	1
18	10	126	107	1
18	11	120	107	1
18	12	114	107	1
18	13	108	107	1
18	14	102	107	1
18	15	78	107	1
18	16	72	107	1
18	17	66	107	1
18	18	60	107	1
18	19	54	107	1
18	20	48	107	1
18	21	42	107	1
18	22	36	107	1
18	23	30	107	1
18	24	24	107	1
18	25	18	107	1
18	26	12	107	1
18	27	6	107	1
18	28	0	107	1
19	1	174	113	1
19	2	168	113	1
19	3	162	113	1
19	4	156	113	1
19	5	150	113	1
19	6	144	113	1
19	7	138	113	1
19	8	132	113	1
19	9	126	113	1
19	10	120	113	1
19	11	114	113	1
19	12	108	113	1
19	13	102	113	1
19	14	78	113	1
19	15	72	113	1
19	16	66	113	1
19	17	60	113	1
19	18	54	113	1
19	19	48	113	1
19	20	42	113	1
19	21	36	113	1
19	22	30	113	1
19	23	24	113	1
19	24	18	113	1
19	25	12	113	1
19	26	6	113	1
20	1	174	119	1
20	2	168	119	1
20	3	162	119	1
20	4	156	119	1
20	5	150	119	1
20	6	144	119	1
20	7	138	119	1
20	8	132	119	1
20	9	126	119	1
20	10	120	119	1
20	11	114	119	1
20	12	108	119	1
20	13	102	119	1
20	14	96	119	1
20	15	90	119	1
20	16	84	119	1
20	17	78	119	1
20	18	72	119	1
20	19	66	119	1
20	20	60	119	1
20	21	54	119	1
20	22	48	119	1
20	23	42	119	1
20	24	36	119	1
20	25	30	119	1
20	26	24	119	1
20	27	18	119	1
20	28	12	119	1
20	29	6	119	1
